timestamp: 1559117045, uptime: 0s, num go: 11, go mem: 9.56 MB, sys mem: 68.69 MB, total mem: 11.75 MB, num GC: 2
timestamp: 1559117075, uptime: 30s, num go: 1323, go mem: 236.68 MB, sys mem: 405.85 MB, total mem: 5.52 GB, num GC: 68
timestamp: 1559117105, uptime: 1m0s, num go: 222, go mem: 227.30 MB, sys mem: 405.85 MB, total mem: 10.99 GB, num GC: 109
timestamp: 1559117135, uptime: 1m31s, num go: 232, go mem: 280.47 MB, sys mem: 405.85 MB, total mem: 16.36 GB, num GC: 149
timestamp: 1559117165, uptime: 2m1s, num go: 222, go mem: 147.11 MB, sys mem: 405.85 MB, total mem: 20.45 GB, num GC: 178
timestamp: 1559117195, uptime: 2m31s, num go: 222, go mem: 172.86 MB, sys mem: 405.85 MB, total mem: 25.99 GB, num GC: 217
timestamp: 1559117225, uptime: 3m1s, num go: 224, go mem: 264.51 MB, sys mem: 405.85 MB, total mem: 30.32 GB, num GC: 247
timestamp: 1559117255, uptime: 3m31s, num go: 222, go mem: 286.57 MB, sys mem: 405.85 MB, total mem: 35.77 GB, num GC: 284
timestamp: 1559117285, uptime: 4m1s, num go: 245, go mem: 200.42 MB, sys mem: 405.85 MB, total mem: 41.22 GB, num GC: 322
timestamp: 1559117316, uptime: 4m31s, num go: 226, go mem: 302.31 MB, sys mem: 405.85 MB, total mem: 45.35 GB, num GC: 350
timestamp: 1559117346, uptime: 5m1s, num go: 222, go mem: 198.17 MB, sys mem: 406.35 MB, total mem: 50.77 GB, num GC: 386
timestamp: 1559117376, uptime: 5m31s, num go: 234, go mem: 250.18 MB, sys mem: 406.35 MB, total mem: 56.16 GB, num GC: 420
timestamp: 1559117406, uptime: 6m1s, num go: 222, go mem: 281.57 MB, sys mem: 406.35 MB, total mem: 60.38 GB, num GC: 447
timestamp: 1559117436, uptime: 6m31s, num go: 223, go mem: 178.52 MB, sys mem: 472.41 MB, total mem: 65.92 GB, num GC: 484
timestamp: 1559117466, uptime: 7m1s, num go: 224, go mem: 285.08 MB, sys mem: 472.41 MB, total mem: 70.13 GB, num GC: 511
timestamp: 1559117496, uptime: 7m31s, num go: 222, go mem: 246.51 MB, sys mem: 472.66 MB, total mem: 75.59 GB, num GC: 546
timestamp: 1559117526, uptime: 8m1s, num go: 227, go mem: 251.42 MB, sys mem: 472.66 MB, total mem: 80.99 GB, num GC: 580
timestamp: 1559117556, uptime: 8m31s, num go: 222, go mem: 272.31 MB, sys mem: 472.66 MB, total mem: 85.18 GB, num GC: 607
timestamp: 1559117586, uptime: 9m1s, num go: 222, go mem: 272.41 MB, sys mem: 472.66 MB, total mem: 90.70 GB, num GC: 641
timestamp: 1559117616, uptime: 9m31s, num go: 224, go mem: 264.17 MB, sys mem: 472.66 MB, total mem: 95.09 GB, num GC: 669
timestamp: 1559117646, uptime: 10m1s, num go: 222, go mem: 227.30 MB, sys mem: 472.66 MB, total mem: 100.36 GB, num GC: 702
timestamp: 1559117676, uptime: 10m32s, num go: 230, go mem: 270.00 MB, sys mem: 472.66 MB, total mem: 105.72 GB, num GC: 735
timestamp: 1559117706, uptime: 11m2s, num go: 222, go mem: 183.35 MB, sys mem: 472.66 MB, total mem: 109.85 GB, num GC: 761
timestamp: 1559117736, uptime: 11m32s, num go: 230, go mem: 179.05 MB, sys mem: 472.66 MB, total mem: 115.35 GB, num GC: 795
timestamp: 1559117767, uptime: 12m2s, num go: 737, go mem: 333.07 MB, sys mem: 472.66 MB, total mem: 119.57 GB, num GC: 821
