timestamp: 1559055961, uptime: 0s, num go: 11, go mem: 9.56 MB, sys mem: 68.94 MB, total mem: 11.71 MB, num GC: 2
timestamp: 1559055991, uptime: 31s, num go: 248, go mem: 100.96 MB, sys mem: 137.50 MB, total mem: 1.41 GB, num GC: 42
timestamp: 1559056022, uptime: 1m1s, num go: 578, go mem: 110.48 MB, sys mem: 270.33 MB, total mem: 3.11 GB, num GC: 67
timestamp: 1559056053, uptime: 1m32s, num go: 1172, go mem: 166.42 MB, sys mem: 336.40 MB, total mem: 6.71 GB, num GC: 117
timestamp: 1559056083, uptime: 2m2s, num go: 518, go mem: 131.36 MB, sys mem: 336.77 MB, total mem: 10.33 GB, num GC: 160
timestamp: 1559056113, uptime: 2m32s, num go: 6410, go mem: 191.36 MB, sys mem: 337.46 MB, total mem: 13.68 GB, num GC: 196
timestamp: 1559056143, uptime: 3m3s, num go: 1056, go mem: 197.42 MB, sys mem: 338.03 MB, total mem: 17.17 GB, num GC: 233
timestamp: 1559056174, uptime: 3m33s, num go: 1442, go mem: 250.80 MB, sys mem: 405.16 MB, total mem: 20.67 GB, num GC: 265
timestamp: 1559056204, uptime: 4m4s, num go: 1035, go mem: 226.23 MB, sys mem: 406.28 MB, total mem: 24.25 GB, num GC: 295
timestamp: 1559056235, uptime: 4m34s, num go: 222, go mem: 185.56 MB, sys mem: 406.28 MB, total mem: 25.21 GB, num GC: 304
timestamp: 1559056265, uptime: 5m4s, num go: 222, go mem: 159.29 MB, sys mem: 406.28 MB, total mem: 26.06 GB, num GC: 312
timestamp: 1559056295, uptime: 5m34s, num go: 222, go mem: 160.71 MB, sys mem: 406.28 MB, total mem: 26.91 GB, num GC: 320
timestamp: 1559056325, uptime: 6m4s, num go: 222, go mem: 110.84 MB, sys mem: 406.28 MB, total mem: 27.74 GB, num GC: 328
timestamp: 1559056355, uptime: 6m34s, num go: 222, go mem: 212.35 MB, sys mem: 406.28 MB, total mem: 28.58 GB, num GC: 335
timestamp: 1559056385, uptime: 7m4s, num go: 222, go mem: 143.26 MB, sys mem: 406.28 MB, total mem: 29.40 GB, num GC: 343
timestamp: 1559056415, uptime: 7m34s, num go: 222, go mem: 134.06 MB, sys mem: 406.28 MB, total mem: 30.28 GB, num GC: 351
timestamp: 1559056445, uptime: 8m4s, num go: 387, go mem: 198.55 MB, sys mem: 406.28 MB, total mem: 31.10 GB, num GC: 358
timestamp: 1559056475, uptime: 8m34s, num go: 835, go mem: 192.78 MB, sys mem: 406.28 MB, total mem: 31.94 GB, num GC: 366
timestamp: 1559056505, uptime: 9m4s, num go: 908, go mem: 212.44 MB, sys mem: 406.28 MB, total mem: 32.76 GB, num GC: 374
timestamp: 1559056535, uptime: 9m35s, num go: 1387, go mem: 228.23 MB, sys mem: 406.28 MB, total mem: 33.59 GB, num GC: 381
timestamp: 1559056566, uptime: 10m5s, num go: 1233, go mem: 206.05 MB, sys mem: 406.28 MB, total mem: 34.40 GB, num GC: 389
timestamp: 1559056596, uptime: 10m35s, num go: 484, go mem: 214.41 MB, sys mem: 406.28 MB, total mem: 35.22 GB, num GC: 396
timestamp: 1559056626, uptime: 11m5s, num go: 453, go mem: 203.16 MB, sys mem: 406.28 MB, total mem: 36.09 GB, num GC: 404
timestamp: 1559056656, uptime: 11m36s, num go: 1648, go mem: 210.02 MB, sys mem: 406.28 MB, total mem: 36.97 GB, num GC: 412
timestamp: 1559056687, uptime: 12m6s, num go: 676, go mem: 214.48 MB, sys mem: 406.28 MB, total mem: 37.80 GB, num GC: 420
timestamp: 1559056717, uptime: 12m36s, num go: 527, go mem: 225.00 MB, sys mem: 406.28 MB, total mem: 38.63 GB, num GC: 427
timestamp: 1559056747, uptime: 13m6s, num go: 1250, go mem: 198.45 MB, sys mem: 406.28 MB, total mem: 39.47 GB, num GC: 435
timestamp: 1559056777, uptime: 13m37s, num go: 1741, go mem: 198.81 MB, sys mem: 406.28 MB, total mem: 40.33 GB, num GC: 443
